word_to_draw,prefix,suffix
reptile,Please draw a:,
piece of furniture,Please draw a:,
musical instrument,Please draw a:,
insect,Please draw an:,
fruit,Please draw a:,
plant,Please draw a:,
piece of clothing,Please draw a:,
kitchen appliance,Please draw a:,
household tool,Please draw a:,
dessert,Please draw a:,
