word_to_draw,prefix,suffix
cougzer,Please draw a creature called a:,
cruckwic,Please draw a creature called a:,
galmmic,Please draw a creature called a:,
gricker ,Please draw a creature called a:,
flissil,Please draw a creature called a:,
flenia,Please draw a creature called a:,
heonia,Please draw a creature called a:,
chalial,Please draw a creature called a:,
bomburg,Please draw a creature called a:,
globlor,Please draw a creature called a:,
horgous,Please draw a creature called a:,
sogung,Please draw a creature called a:,
ackie,Please draw a creature called a:,
accrel,Please draw a creature called a:,
chalish,Please draw a creature called a:,
chithet,Please draw a creature called a:,
knitick,Please draw a creature called a:,
keppick,Please draw a creature called a:,
axittic,Please draw a creature called a:,
keex,Please draw a creature called a:,
boodoma,Please draw a creature called a:,
goomon,Please draw a creature called a:,
ambous,Please draw a creature called a:,
dobulum,Please draw a creature called a:,
word,Please draw a creature called a:,
couzger,Please draw a creature called a:,
cruckwic,Please draw a creature called a:,
