word_to_draw,prefix,suffix
heonia,Please draw a creature called a:,
ackie,Please draw a creature called a:,
cat,Please draw a:,
ambous,Please draw a creature called a:,
flissil,Please draw a creature called a:,
bomburg,Please draw a creature called a:,
cruckwic,Please draw a creature called a:,
gricker,Please draw a creature called a:,
horgous,Please draw a creature called a:,
cougzer,Please draw a creature called a:,
keex,Please draw a creature called a:,
dog,Please draw a:,
axittic,Please draw a creature called a:,
boodoma,Please draw a creature called a:,
